a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
shar,oty,34,114,24,79,0.30125786715206027,7
she,ches,41,44,34,45,0.3012320380383546,8
cthol,al,55,311,40,250,0.3008740675755495,15
oly,oty,65,114,37,79,0.30063735595328883,11
chal,d,59,53,55,32,0.3002950776409672,8
or,dy,390,204,407,144,0.2997230336331437,35
dal,ckhy,190,38,138,29,0.29957609548343606,10
shar,oky,34,103,24,92,0.29938962296890553,9
shody,dain,50,173,44,145,0.2993056723522841,15
chckhy,l,141,156,156,144,0.2990779870329955,29
chy,dor,197,63,151,69,0.29902456774638236,15
dal,cheo,190,75,138,58,0.2988915899328224,12
shol,ody,176,38,179,29,0.29872941460844904,10
chor,ches,215,44,199,45,0.2985290570566618,18
dal,daly,190,33,138,25,0.29842252986809076,10
chey,cthor,510,45,581,41,0.2982913216850942,20
ol,cthey,588,47,628,47,0.29800764289025666,28
sor,air,43,95,47,76,0.2974452625451047,6
ckhey,al,32,311,32,250,0.2972958090854334,16
or,qo,390,51,407,56,0.297130632591159,18
chor,sar,215,77,199,49,0.29709798970136353,15
shar,kol,34,35,24,32,0.296683051981965,8
she,ol,41,588,34,628,0.2963531045582122,21
kchy,oky,36,103,35,92,0.2961436978509845,10
dain,shedy,173,255,145,298,0.29592231336196423,35
she,o,41,114,34,86,0.29559878344928797,9
ody,chedy,38,341,29,408,0.2955587540385454,14
r,qo,196,51,180,56,0.2955001088851867,19
kar,l,58,156,47,144,0.2952141163542458,17
ar,chckhy,449,141,400,156,0.2948869772874902,47
qoky,shedy,137,255,113,298,0.2945592650650075,34
oty,qoky,114,137,79,113,0.2944497838890522,22
dor,chos,63,42,69,44,0.29436867984522636,7
shol,daly,176,33,179,25,0.294203671698355,8
dain,chedy,173,341,145,408,0.293875963792916,39
am,chckhy,115,141,39,156,0.29372522840900395,12
cthey,qol,47,147,47,143,0.2936517935175197,12
chol,dol,367,97,365,91,0.2935747218486877,32
shey,qol,344,147,382,143,0.29349326493842404,35
ckhey,shor,32,91,32,87,0.29346959282671115,8
kol,ain,35,149,32,105,0.29345664633585744,10
shol,cheo,176,75,179,58,0.29330190565838854,16
chal,air,59,95,55,76,0.29293746257419007,14
kchy,shy,36,94,35,82,0.29259693879412335,9
dol,tar,97,43,91,36,0.2922792084264495,7
shol,ckhy,176,38,179,29,0.2922644611172898,12
kchy,dair,36,93,35,76,0.29196364741690733,6
or,oty,390,114,407,79,0.29187599895058036,21
cthor,ody,45,38,41,29,0.29184818148727604,5
qol,shedy,147,255,143,298,0.2915842951239575,24
cthy,shcthy,100,30,71,36,0.2915676758522342,7
chey,ody,510,38,581,29,0.2913020323649647,16
kal,shy,30,94,27,82,0.29099384762368896,10
shcthy,shedy,30,255,36,298,0.2909103123087836,14
y,kal,210,30,185,27,0.29077757568922374,17
char,tol,79,42,74,46,0.29061909685954823,10
chody,sheo,80,46,87,35,0.29020760752299923,12
chy,ody,197,38,151,29,0.2901358488665539,10
r,ain,196,149,180,105,0.2900038037802343,24
shody,chor,50,215,44,199,0.2896939979124622,16
cthey,oty,47,114,47,79,0.2896119118022347,14
chol,chdy,367,108,365,112,0.2895871844327858,46
shy,sheo,94,46,82,35,0.289177615627128,11
dal,cthey,190,47,138,47,0.289092524614419,18
cthol,ol,55,588,40,628,0.2889191527416453,14
ckhey,kchy,32,36,32,35,0.28879794895246214,7
char,qoky,79,137,74,113,0.2887832029526252,19
chy,sol,197,63,151,76,0.288551262174073,13
cthy,ol,100,588,71,628,0.28851173959394866,20
chody,lor,80,38,87,42,0.28796224978408247,7
al,oly,311,65,250,37,0.2876906346984852,16
sho,cho,118,77,124,58,0.28756270219259605,15
shody,shcthy,50,30,44,36,0.287494454249973,7
cho,qo,77,51,58,56,0.28737530616981427,13
she,cheo,41,75,34,58,0.2873204807817469,7
shckhy,shcthy,55,30,67,36,0.28729720245711154,14
sho,shy,118,94,124,82,0.2870846258816073,20
kchy,sor,36,43,35,47,0.2870243521435145,6
chy,l,197,156,151,144,0.2868682878919876,36
cho,oty,77,114,58,79,0.2866654092653303,13
chey,shor,510,91,581,87,0.2865662262595267,32
shody,shor,50,91,44,87,0.2865461233255326,13
dal,o,190,114,138,86,0.2865047925051472,19
tol,shor,42,91,46,87,0.2864822215689322,11
dar,shedy,287,255,245,298,0.2864257075183801,36
tol,lor,42,38,46,42,0.2863513306204547,7
y,oty,210,114,185,79,0.2862226551017246,21
chy,dair,197,93,151,76,0.2862150941521411,21
chey,o,510,114,581,86,0.28619618832707727,34
