a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
chey,qoky,LF0006,10,8,0.09999999999999999,i·n,90.0,i·n,100.0,False
qoky,l,LF0003,10,16,0.09999999999999999,y,50.0,y,50.0,False
chey,chedy,LF0013,21,20,0.09999999999999996,y,66.66666666666667,y,65.0,False
or,sar,LF0012,57,9,0.0935672514619883,n,98.24561403508773,n,88.88888888888889,False
chey,shedy,LF0018,13,21,0.09157509157509153,y,53.84615384615385,y,52.38095238095238,False
chey,chedy,LF0018,13,16,0.08653846153846156,y,53.84615384615385,y,56.25,False
shey,shedy,LF0013,15,20,0.08333333333333333,y,46.666666666666664,y,50.0,False
ar,sar,LF0012,32,9,0.07986111111111113,n,96.875,n,88.88888888888889,False
r,sar,LF0012,30,9,0.0777777777777778,n,96.66666666666667,n,88.88888888888889,False
chey,chedy,LF0023,14,11,0.07142857142857141,i·n,92.85714285714286,i·n,100.0,False
chol,ain,LF0003,11,9,0.07070707070707073,y,54.54545454545455,y,55.55555555555556,False
shey,chey,LF0027,15,13,0.06666666666666665,n,93.33333333333333,n,100.0,False
shey,chedy,LF0027,15,11,0.06666666666666665,n,93.33333333333333,n,100.0,False
ar,s,LF0011,33,53,0.06060606060606058,i·n,93.93939393939394,i·n,100.0,False
ar,ol,LF0011,33,24,0.06060606060606058,i·n,93.93939393939394,i·n,100.0,False
ar,o,LF0011,33,12,0.06060606060606058,i·n,93.93939393939394,i·n,100.0,False
ar,or,LF0011,33,58,0.04336468129571577,i·n,93.93939393939394,i·n,96.55172413793103,False
or,s,LF0011,58,53,0.034482758620689634,i·n,96.55172413793103,i·n,100.0,False
or,ol,LF0011,58,24,0.034482758620689634,i·n,96.55172413793103,i·n,100.0,False
or,o,LF0011,58,12,0.034482758620689634,i·n,96.55172413793103,i·n,100.0,False
s,r,LF0011,53,30,0.033333333333333326,i·n,100.0,i·n,96.66666666666667,False
s,r,LF0012,53,30,0.033333333333333326,n,100.0,n,96.66666666666667,False
r,ol,LF0011,30,24,0.033333333333333326,i·n,96.66666666666667,i·n,100.0,False
r,ol,LF0012,30,24,0.033333333333333326,n,96.66666666666667,n,100.0,False
r,o,LF0012,30,12,0.033333333333333326,n,96.66666666666667,n,100.0,False
r,o,LF0011,30,12,0.033333333333333326,i·n,96.66666666666667,i·n,100.0,False
ar,s,LF0012,32,53,0.03125,n,96.875,n,100.0,False
ar,ol,LF0012,32,24,0.03125,n,96.875,n,100.0,False
ar,o,LF0012,32,12,0.03125,n,96.875,n,100.0,False
ar,r,LF0011,33,30,0.03030303030303028,i·n,93.93939393939394,i·n,96.66666666666667,False
or,s,LF0012,57,53,0.017543859649122834,n,98.24561403508773,n,100.0,False
or,ol,LF0012,57,24,0.017543859649122834,n,98.24561403508773,n,100.0,False
or,o,LF0012,57,12,0.017543859649122834,n,98.24561403508773,n,100.0,False
or,r,LF0011,58,30,0.01724137931034481,i·n,96.55172413793103,i·n,96.66666666666667,False
or,r,LF0012,57,30,0.015789473684210496,n,98.24561403508773,n,96.66666666666667,False
ar,or,LF0012,32,57,0.013706140350877166,n,96.875,n,98.24561403508773,False
s,chol,LF0007,9,33,0.010101010101010097,l,66.66666666666667,l,66.66666666666667,False
ar,r,LF0012,32,30,0.0020833333333333294,n,96.875,n,96.66666666666667,False
s,ol,LF0011,53,24,0.0,i·n,100.0,i·n,100.0,False
s,ol,LF0012,53,24,0.0,n,100.0,n,100.0,False
s,o,LF0012,53,12,0.0,n,100.0,n,100.0,False
s,o,LF0011,53,12,0.0,i·n,100.0,i·n,100.0,False
chor,chol,LF0006,8,28,0.0,i·n,100.0,i·n,100.0,False
chor,chol,LF0009,8,28,0.0,n,100.0,n,100.0,False
chor,ol,LF0006,8,9,0.0,i·n,100.0,i·n,100.0,False
chor,ol,LF0009,8,9,0.0,n,100.0,n,100.0,False
chor,qoky,LF0006,8,8,0.0,i·n,100.0,i·n,100.0,False
chor,qoky,LF0009,8,8,0.0,n,100.0,n,100.0,False
chol,ol,LF0006,28,9,0.0,i·n,100.0,i·n,100.0,False
chol,ol,LF0009,28,9,0.0,n,100.0,n,100.0,False
chol,qoky,LF0009,28,8,0.0,n,100.0,n,100.0,False
chol,qoky,LF0006,28,8,0.0,i·n,100.0,i·n,100.0,False
chey,chedy,LF0027,13,11,0.0,n,100.0,n,100.0,False
ol,qoky,LF0009,9,8,0.0,n,100.0,n,100.0,False
ol,qoky,LF0006,9,8,0.0,i·n,100.0,i·n,100.0,False
ol,o,LF0011,24,12,0.0,i·n,100.0,i·n,100.0,False
ol,o,LF0012,24,12,0.0,n,100.0,n,100.0,False
