a,b,count_a,count_b,succ_cos,pred_cos,score
chal,sal,59,48,0.36924104409323955,0.3422496793352716,0.36114363466584914
am,l,115,156,0.41982567079044514,0.22410306501439428,0.36110888905762983
ckhey,chedy,32,341,0.4085088758049264,0.24991589421911012,0.3609309813291815
qo,ody,51,38,0.38650387566186106,0.3012413099972973,0.36092510596249194
shar,or,34,390,0.3721722263157281,0.3344859787086712,0.36086635203361106
chos,l,42,156,0.3967888038951165,0.2761583910327533,0.3605996800364075
sy,chdy,40,108,0.33742469039290385,0.4145586309209765,0.36056487255132563
kol,chckhy,35,141,0.3919379511888931,0.2872809347566612,0.3605408462592235
ain,oly,149,65,0.3533085881909602,0.37728263516899335,0.36050080228437015
sheo,ches,46,44,0.36064881473196003,0.35975554288003875,0.3603808331763836
sal,kar,48,58,0.33299388731722473,0.42422965533393175,0.3603646177222368
ckhy,shor,38,91,0.3394543193568853,0.40887830028004657,0.36028151363383365
chal,qoty,59,84,0.3928779862035983,0.2834670477105022,0.36005470465566947
kal,lol,30,35,0.35349464290272015,0.375,0.35994625003190406
shody,chedy,50,341,0.3727689081880321,0.3299208065725511,0.35991447770338775
