a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
ckhey,qo,32,51,32,59,0.3148033093782618,12,10
sor,air,43,95,45,70,0.3146535801122621,11,7
or,qo,390,51,406,59,0.31450962781127406,23,20
shol,qol,176,147,181,132,0.31405256176836616,38,23
chy,sol,197,63,157,69,0.31402582300996396,21,16
char,shy,79,94,75,77,0.31383276052966447,18,17
ckhey,kchy,32,36,32,36,0.3137858162210944,9,8
qo,air,51,95,59,70,0.3133071802123678,15,13
shckhy,l,55,156,64,137,0.3131968652630628,17,15
oly,dy,65,204,33,144,0.3131323283135985,14,12
ckhy,dol,38,97,27,89,0.31311668665751313,8,6
dy,kar,204,58,144,47,0.31295800878256974,19,15
shy,dor,94,63,77,68,0.3129126475003129,17,14
s,al,328,311,291,245,0.31284541882925804,80,45
ain,tar,149,43,107,35,0.3126706977113331,13,10
shey,tol,344,42,374,48,0.3123551612895622,29,19
ckhey,tol,32,42,32,48,0.31234752377721214,8,4
char,am,79,115,75,38,0.31215336230897067,12,9
cthor,l,45,156,42,137,0.31213088439851683,19,17
or,dy,390,204,406,144,0.31194369673283334,58,39
sho,shy,118,94,124,77,0.31182005891631986,24,20
oly,key,65,33,33,36,0.3117146000796786,9,8
chy,dor,197,63,157,68,0.31158691386904963,20,15
y,kchy,210,36,176,36,0.3114800603539316,19,14
cthor,chos,45,42,42,43,0.31142749961738125,9,8
dar,key,287,33,242,36,0.31134992453861954,17,16
shey,key,344,33,374,36,0.31124294158200977,17,16
sho,dar,118,287,124,242,0.311146773516065,38,24
sho,l,118,156,124,137,0.31107792365011994,33,23
she,chy,41,197,39,157,0.31065763870342095,17,16
chal,cthor,59,45,57,42,0.3102007799620667,12,10
ol,chl,588,33,609,28,0.31006068976894213,16,15
al,sal,311,48,245,44,0.30951038179976736,26,21
chdy,sal,108,48,113,44,0.3092187118290936,15,14
d,dal,53,190,32,139,0.30912233386759314,11,7
char,kal,79,30,75,27,0.30899063268107396,10,9
sho,ol,118,588,124,609,0.3086709369026896,63,41
am,kar,115,58,38,47,0.30860669992418394,9,7
dal,sal,190,48,139,44,0.30847349318443995,19,15
she,al,41,311,39,245,0.3083661334072362,19,18
cthy,shcthy,100,30,67,33,0.30824910729071103,10,8
chal,o,59,114,57,83,0.30823853219201475,15,13
shar,al,34,311,24,245,0.30772872744833185,20,16
shey,qol,344,147,374,132,0.3073779147692319,57,31
dal,chos,190,42,139,43,0.3073626012392636,15,12
sho,chy,118,197,124,157,0.30736260123926357,39,29
ain,sal,149,48,107,44,0.3073597990677202,16,13
chor,chl,215,33,199,28,0.3072676485105925,13,13
cthey,al,47,311,50,245,0.30705978943149537,29,26
dol,cthor,97,45,89,42,0.30684889788133385,17,14
chor,sar,215,77,199,48,0.3063651522441715,25,16
chor,kchy,215,36,199,36,0.30593611406208443,12,8
cthor,tar,45,43,42,35,0.3057710499039266,9,8
char,key,79,33,75,36,0.30566302267925005,12,11
chey,qol,510,147,580,132,0.3053373379553345,74,44
kchy,oky,36,103,36,90,0.30506954354828636,11,8
r,chl,196,33,176,28,0.3049191101207239,7,7
y,chdy,210,108,176,113,0.3047638955182631,41,37
kchy,ckhy,36,38,36,27,0.304724700110022,6,4
oky,oty,103,114,90,79,0.30456618494923116,18,16
qo,cthor,51,45,59,42,0.3043486771655314,13,12
sar,qol,77,147,48,132,0.30395065737861265,17,10
or,dol,390,97,406,89,0.30307605315574815,42,26
chl,sar,33,77,28,48,0.30306406267810193,9,9
kol,cthey,35,47,33,50,0.30304576336566325,10,10
am,chckhy,115,141,38,153,0.3029822314078876,15,11
chol,oly,367,65,362,33,0.30252082894833693,24,21
chol,cthey,367,47,362,50,0.3024978093827196,31,30
chal,d,59,53,57,32,0.30237876942676295,10,9
chol,qol,367,147,362,132,0.3019405157713956,65,30
sho,oty,118,114,124,79,0.3017912683451895,27,21
chdy,chal,108,59,113,57,0.30173366297443593,21,21
cheo,kar,75,58,62,47,0.301624673408895,6,4
kar,oty,58,114,47,79,0.301348515087799,12,10
shol,oly,176,65,181,33,0.30123452693196445,16,14
she,ol,41,588,39,609,0.3010056624732803,26,23
cthy,ckhy,100,38,67,27,0.30083999879664003,11,10
tol,shor,42,91,48,85,0.30080202133308975,14,11
tol,oly,42,65,48,33,0.3006143386681398,9,8
cthy,shey,100,344,67,374,0.29999734489155827,43,26
chal,ches,59,44,57,43,0.29998500112490617,13,12
ar,qo,449,51,388,59,0.2998180508491334,32,29
sho,dor,118,63,124,68,0.299603810788371,18,11
d,chl,53,33,32,28,0.29922187446563825,5,5
shor,kar,91,58,85,47,0.2991794171641243,12,10
cthey,shy,47,94,50,77,0.2986167686555679,14,14
shol,r,176,196,181,176,0.29823420711174237,43,27
dy,chos,204,42,144,43,0.29809340473984325,18,15
r,al,196,311,176,245,0.29806653253444804,65,40
shey,ol,344,588,374,609,0.29736817233681057,148,79
chal,cheo,59,75,57,62,0.2971870040174795,12,11
ain,key,149,33,107,36,0.296844459348713,11,10
kchy,cthey,36,47,36,50,0.29649972666444047,10,9
ckhey,shor,32,91,32,85,0.29631887899487686,14,9
tol,o,42,114,48,83,0.29631887899487686,12,8
dor,chos,63,42,68,43,0.2961693147099789,11,8
cthol,chos,55,42,43,43,0.29581426066180383,12,11
sho,chckhy,118,141,124,153,0.29542465529134687,29,22
chal,kar,59,58,57,47,0.2949159701358725,13,12
